sampleNames;sample;Year;site;enrichment;enrichment;days;Period;folder;Info4;Expname;Experimentator;Csource;CsourceBeta;biomass.enriched;filter.fraction;oxygen;thiosulfate;ammonium;nitrite;nitrate;methylamine;cellulose;starch;veratric.acid;soil.seepage;necromass;R2A;leaf.leachate;16S.gene.copies.per.L;dev;PNK;Before
19-JS;19-JS;NA;H41;cellulose;13CHA-II-1-DNA-JS;70;>3weeks;16-cellulose;13C;cellulose;MT;organic_defined;organic_defined;NA;0.2;oxic;no;no;no;no;no;yes;no;no;no;no;no;no;NA;NA;NA;organic_defined
1Me12C-S-A;1Me12C-S-A;2019;H41;Methanol;Methanol;7;1week;10-2019 04 12 H41 Methanol;10-Methanol;MethanolSIP;MT;methylotrophy;methylotrophy;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
220714-H41-01;220714-H41-01;2022;H41;Autotrophy;Autotrophy;518;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
220714-H41-02;220714-H41-02;2022;H41;Autotrophy;Autotrophy;518;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
220714-H41-03;220714-H41-03;2022;H41;Autotrophy;Autotrophy;518;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
220714-H41-05;220714-H41-05;2022;H41;Autotrophy;Autotrophy;518;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
220714-H41-06;220714-H41-06;2022;H41;Autotrophy;Autotrophy;518;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
220714-H52-07;220714-H52-07;2022;H52;Autotrophy;Autotrophy;518;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;anoxic;no;yes;yes;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
220714-H52-08;220714-H52-08;2022;H52;Autotrophy;Autotrophy;518;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;anoxic;no;yes;yes;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
220714-H52-09;220714-H52-09;2022;H52;Autotrophy;Autotrophy;518;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;anoxic;no;yes;yes;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
220714-H52-10;220714-H52-10;2022;H52;Autotrophy;Autotrophy;518;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
220714-H52-11;220714-H52-11;2022;H52;Autotrophy;Autotrophy;518;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
220714-H52-12;220714-H52-12;2022;H52;Autotrophy;Autotrophy;518;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
2Me12C-S-B;2Me12C-S-B;2019;H41;Methanol;Methanol;7;1week;10-2019 04 12 H41 Methanol;10-Methanol;MethanolSIP;MT;methylotrophy;methylotrophy;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
341F-785R-D6A;341F-785R-D6A;2016;H41;deuterated veratric acid;deuterated veratric acid;26;>3weeks;1-Rsip;1-Rsip;RamanSIP;MT;organic_defined;organic_defined;yes;0.2;oxic;no;no;no;no;no;no;no;yes;no;no;no;no;NA;NA;NA;organic_defined
341F-785R-D6B;341F-785R-D6B;2016;H41;deuterated veratric acid;deuterated veratric acid;26;>3weeks;1-Rsip;1-Rsip;RamanSIP;MT;organic_defined;organic_defined;yes;0.2;oxic;no;no;no;no;no;no;no;yes;no;no;no;no;NA;NA;NA;organic_defined
341F-785R-MDA;341F-785R-MDA;2016;H41;methylamine;methylamine;42;>3weeks;1-Rsip;1-Rsip;RamanSIP;MT;methylotrophy;methylotrophy;yes;0.2;oxic;no;no;no;no;yes;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
341F-785R-MDB;341F-785R-MDB;2016;H41;methylamine;methylamine;42;>3weeks;1-Rsip;1-Rsip;RamanSIP;MT;methylotrophy;methylotrophy;yes;0.2;oxic;no;no;no;no;yes;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
341F-785R-MHA;341F-785R-MHA;2016;H41;methylamine;methylamine;42;>3weeks;1-Rsip;1-Rsip;RamanSIP;MT;methylotrophy;methylotrophy;yes;0.2;oxic;no;no;no;no;yes;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
341F-785R-MHB;341F-785R-MHB;2016;H41;methylamine;methylamine;42;>3weeks;1-Rsip;1-Rsip;RamanSIP;MT;methylotrophy;methylotrophy;yes;0.2;oxic;no;no;no;no;yes;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
341F-785R-negD;341F-785R-negD;2016;H41;none;none;42;>3weeks;1-Rsip;1-Rsip;RamanSIP;MT;none;none;yes;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
341F-785R-negH;341F-785R-negH;2016;H41;none;none;42;>3weeks;1-Rsip;1-Rsip;RamanSIP;MT;none;none;yes;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
341F-785R-VDA;341F-785R-VDA;2016;H41;veratric acid;veratric acid;26;>3weeks;1-Rsip;1-Rsip;RamanSIP;MT;organic_defined;organic_defined;yes;0.2;oxic;no;no;no;no;no;no;no;yes;no;no;no;no;NA;NA;NA;organic_defined
341F-785R-VDB;341F-785R-VDB;2016;H41;veratric acid;veratric acid;26;>3weeks;1-Rsip;1-Rsip;RamanSIP;MT;organic_defined;organic_defined;yes;0.2;oxic;no;no;no;no;no;no;no;yes;no;no;no;no;NA;NA;NA;organic_defined
341F-785R-VHA;341F-785R-VHA;2016;H41;veratric acid;veratric acid;26;>3weeks;1-Rsip;1-Rsip;RamanSIP;MT;organic_defined;organic_defined;yes;0.2;oxic;no;no;no;no;no;no;no;yes;no;no;no;no;NA;NA;NA;organic_defined
341F-785R-VHB;341F-785R-VHB;2016;H41;veratric acid;veratric acid;26;>3weeks;1-Rsip;1-Rsip;RamanSIP;MT;organic_defined;organic_defined;yes;0.2;oxic;no;no;no;no;no;no;no;yes;no;no;no;no;NA;NA;NA;organic_defined
3Me12C-S-C;3Me12C-S-C;2019;H41;Methanol;Methanol;7;1week;10-2019 04 12 H41 Methanol;10-Methanol;MethanolSIP;MT;methylotrophy;methylotrophy;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
4Me12C-L-A;4Me12C-L-A;2019;H41;Methanol;Methanol;39;>3weeks;10-2019 04 12 H41 Methanol;10-Methanol;MethanolSIP;MT;methylotrophy;methylotrophy;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
5Me12C-L-B;5Me12C-L-B;2019;H41;Methanol;Methanol;39;>3weeks;10-2019 04 12 H41 Methanol;10-Methanol;MethanolSIP;MT;methylotrophy;methylotrophy;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
6Me12C-L-C;6Me12C-L-C;2019;H41;Methanol;Methanol;39;>3weeks;10-2019 04 12 H41 Methanol;10-Methanol;MethanolSIP;MT;methylotrophy;methylotrophy;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
7Me13C-S-A;7Me13C-S-A;2019;H41;Methanol;Methanol;7;1week;10-2019 04 12 H41 Methanol;10-Methanol;MethanolSIP;MT;methylotrophy;methylotrophy;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
8Me13C-S-B;8Me13C-S-B;2019;H41;Methanol;Methanol;7;1week;10-2019 04 12 H41 Methanol;10-Methanol;MethanolSIP;MT;methylotrophy;methylotrophy;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
9Me13C-S-C;9Me13C-S-C;2019;H41;Methanol;Methanol;7;1week;10-2019 04 12 H41 Methanol;10-Methanol;MethanolSIP;MT;methylotrophy;methylotrophy;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
a;a;2021;H41;Autotrophy;Autotrophy;83;>3weeks;12-2021 01 14Autotrophy-SIPsulf;12-Autotrophy;AutotrophyEnr;MT;autotrophy;autotrophy;no;0.2;oxic;no;yes;no;no;no;no;no;no;no;no;no;no;1.71E+08;1.71E+08;2.81E+07;autotrophy
A01;A01;2018;H41;Before Incubation;Before Incubation;0;day0;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;Before Incubation;none;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;Before Incubation
A010;A010;2018;H41;Necromass;Necromass;4;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A011;A011;2018;H41;Necromass;Necromass;4;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A012;A012;2018;H41;Necromass;Necromass;4;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A02;A02;2018;H41;Before Incubation;Before Incubation;0;day0;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;Before Incubation;none;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;Before Incubation
A03;A03;2018;H41;Before Incubation;Before Incubation;0;day0;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;Before Incubation;none;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;Before Incubation
A04;A04;2018;H41;Necromass;Necromass;2;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A05;A05;2018;H41;Necromass;Necromass;2;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A06;A06;2018;H41;Necromass;Necromass;2;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A07;A07;2018;H41;Necromass;Necromass;2;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A08;A08;2018;H41;Necromass;Necromass;2;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
A09;A09;2018;H41;Necromass;Necromass;2;1week;9-2018 12 14 Patricia Necromass;9-Necromass;Necromass;PG;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;yes;no;no;NA;NA;NA;organic_undefined
